lot,start_year,start_week,start_day,assyin_entity_code,original_entity_code,package_type,cust_assy_lot,start_date,flowtype,order_type,cust_code,package_code,product_no,original_start_qty,bom_no,bom_rev,last_oper,assy_pack_type,automotive_flag,wafer_size,die_used,size_type,cancel_flag,compound_stock
EMSPR0607.2,2024,6,1,140,140,QFN,181086,2/4/2024 19:00,G-A,P,EMS,NQ-500E5001020U,521.41A,17600,EMS0908P,A,2024-EMS-02-G167,TUBE,Y,8,1,141.70 X 141.70,,CZ0142
EMSPR0820.3,2024,8,3,140,140,QFN,181159,2/20/2024 19:00,G-A,P,EMS,NQ-500E5001020U,521.41A,14466,EMS0908P,A,2024-EMS-03-G008,TUBE,Y,8,1,141.70 X 141.70,,CZ0142
EMSPR0820.2,2024,8,3,140,140,QFN,181159,2/20/2024 19:00,G-A,P,EMS,NQ-500E5001020U,521.41A,17600,EMS0908P,A,2024-EMS-03-G008,TUBE,Y,8,1,141.70 X 141.70,,CZ0142
EMSPR0820.1,2024,8,3,140,140,QFN,181159,2/20/2024 19:00,G-A,P,EMS,NQ-500E5001020U,521.41A,17600,EMS0908P,A,2024-EMS-03-G005,TUBE,Y,8,1,141.70 X 141.70,,CZ0142
EMSPR0857.3,2024,8,2,140,140,QFN,179563,2/19/2024 19:00,G-A,P,EMS,NQ-500E5001020U,521.41A,13255,EMS0908P,A,2024-EMS-03-G005,TUBE,Y,8,1,141.70 X 141.70,,CZ0142
EMSPR0857.1,2024,8,2,140,140,QFN,179563,2/19/2024 19:00,G-A,P,EMS,NQ-500E5001020U,521.41A,17600,EMS0908P,A,2024-EMS-03-G005,TUBE,Y,8,1,141.70 X 141.70,,CZ0142
EMSPR0857.2,2024,8,2,140,140,QFN,179563,2/19/2024 19:00,G-A,P,EMS,NQ-500E5001020U,521.41A,17600,EMS0908P,A,2024-EMS-02-G317,TUBE,Y,8,1,141.70 X 141.70,,CZ0142
EMSPR0786.1,2024,7,6,140,140,QFN,182673,2/16/2024 19:00,G-A,P,EMS,NQ-500E5001032U,403.02A,17600,EMS0902P,A,2024-EMS-02-G305,TUBE,Y,8,1,128.00 X 123.2,,CZ0289
EMSPR0786.3,2024,7,6,140,140,QFN,182673,2/16/2024 19:00,G-A,P,EMS,NQ-500E5001032U,403.02A,24880,EMS0902P,A,2024-EMS-02-G305,TUBE,Y,8,1,128.00 X 123.2,,CZ0289
EMSPR0786.2,2024,7,6,140,140,QFN,182673,2/16/2024 19:00,G-A,P,EMS,NQ-500E5001032U,403.02A,17600,EMS0902P,A,2024-EMS-02-G287,TUBE,Y,8,1,128.00 X 123.2,,CZ0289
